Date,Open,High,Low,Close,Adj Close,Volume
2019-01-09,10.410000,10.500000,9.600000,9.600000,9.600000,212400
2019-01-10,9.550000,10.100000,9.457000,10.000000,10.000000,272500
2019-01-11,10.000000,10.000000,9.854000,9.856000,9.856000,23500
2019-01-14,9.990000,9.990000,9.760000,9.900000,9.900000,18400
2019-01-15,9.850000,10.030000,9.750000,10.030000,10.030000,33700
2019-01-16,10.030000,10.030000,9.950000,10.000000,10.000000,5900
2019-01-17,9.700000,9.930000,9.689000,9.840000,9.840000,15400
2019-01-18,9.780000,9.900000,9.710000,9.820000,9.820000,16100
2019-01-22,9.850000,9.850000,9.680000,9.760000,9.760000,9800
2019-01-23,9.820000,9.820000,9.690000,9.740000,9.740000,11900
2019-01-24,9.610000,9.750000,9.610000,9.640000,9.640000,21200
2019-01-25,9.670000,9.680000,9.579000,9.587000,9.587000,3300
2019-01-28,9.610000,9.625000,9.560000,9.570000,9.570000,14000
2019-01-29,9.540000,9.540000,9.455000,9.460000,9.460000,19200
2019-01-30,9.500000,9.500000,9.450000,9.450000,9.450000,8000
2019-01-31,9.450000,9.469000,9.450000,9.452000,9.452000,8000
2019-02-01,9.470000,9.470000,9.450000,9.454000,9.454000,7400
2019-02-04,9.415000,9.470000,9.415000,9.440000,9.440000,6700
2019-02-05,9.450000,9.450000,9.327000,9.360000,9.360000,10900
2019-02-06,9.360000,9.470000,9.164000,9.470000,9.470000,22300
2019-02-07,9.435000,9.450000,9.299000,9.450000,9.450000,8800
2019-02-08,9.480000,9.500000,9.480000,9.484000,9.484000,13800
2019-02-11,9.458000,9.499000,9.458000,9.490000,9.490000,1500
2019-02-12,9.400000,9.410000,9.300000,9.310000,9.310000,11200
2019-02-13,9.354000,9.480000,9.270000,9.480000,9.480000,2100
2019-02-14,9.270000,9.300000,9.270000,9.280000,9.280000,600
2019-02-15,9.284000,9.284000,9.170000,9.200000,9.200000,12900
2019-02-19,9.191000,9.450000,9.186000,9.400000,9.400000,10700
2019-02-20,9.440000,9.440000,9.190000,9.390000,9.390000,12300
2019-02-21,9.384000,9.500000,9.384000,9.500000,9.500000,6500
2019-02-22,9.360000,9.690000,9.360000,9.600000,9.600000,13400
2019-02-25,9.577000,9.600000,9.571000,9.600000,9.600000,2200
2019-02-26,9.500000,9.600000,9.453000,9.600000,9.600000,14100
2019-02-27,9.610000,9.610000,9.600000,9.600000,9.600000,4300
2019-02-28,9.629000,9.690000,9.608000,9.690000,9.690000,4700
2019-03-01,9.700000,9.789000,9.575000,9.610000,9.610000,15200
2019-03-04,9.720000,9.740000,9.600000,9.600000,9.600000,8200
2019-03-05,9.749000,9.761000,9.600000,9.740000,9.740000,16700
2019-03-06,9.600000,9.750000,9.600000,9.690000,9.690000,9000
2019-03-07,9.742000,9.742000,9.600000,9.670000,9.670000,7900
2019-03-08,9.602000,9.730000,9.602000,9.610000,9.610000,10500
2019-03-11,9.720000,9.900000,9.660000,9.900000,9.900000,23700
2019-03-12,9.890000,9.980000,9.890000,9.950000,9.950000,21100
2019-03-13,9.940000,9.950000,9.850000,9.850000,9.850000,16600
2019-03-14,9.900000,9.980000,9.875000,9.900000,9.900000,17400
2019-03-15,9.970000,9.980000,9.500000,9.500000,9.500000,42200
2019-03-18,9.620000,9.663000,9.600000,9.600000,9.600000,8000
2019-03-19,9.789000,9.789000,9.610000,9.610000,9.610000,3200
2019-03-20,9.722000,9.722000,9.600000,9.600000,9.600000,2700
2019-03-21,9.740000,9.740000,9.600000,9.620000,9.620000,7500
2019-03-22,9.700000,9.710000,9.660000,9.710000,9.710000,1900
2019-03-25,9.603000,9.634000,9.600000,9.600000,9.600000,4700
2019-03-26,9.650000,9.700000,9.646000,9.700000,9.700000,3300
2019-03-27,9.700000,9.730000,9.700000,9.730000,9.730000,1200
2019-03-28,9.659000,9.750000,9.659000,9.750000,9.750000,1400
2019-03-29,9.640000,9.880000,9.640000,9.750000,9.750000,2800
2019-04-01,9.750000,9.900000,9.630000,9.895000,9.895000,9100
2019-04-02,9.895000,9.895000,9.895000,9.895000,9.895000,100
2019-04-03,9.900000,9.900000,9.850000,9.853000,9.853000,3600
2019-04-04,9.700000,9.700000,9.700000,9.700000,9.700000,2700
2019-04-05,9.700000,9.700000,9.700000,9.700000,9.700000,100
2019-04-08,9.648000,9.780000,9.648000,9.680000,9.680000,2100
2019-04-09,9.680000,9.680000,9.670000,9.670000,9.670000,700
2019-04-10,9.650000,9.710000,9.650000,9.700000,9.700000,2800
2019-04-11,9.750000,9.750000,9.710000,9.710000,9.710000,1400
2019-04-12,9.730000,9.750000,9.702000,9.740000,9.740000,3100
2019-04-15,9.740000,9.740000,9.740000,9.740000,9.740000,0
2019-04-16,9.600000,9.679000,9.600000,9.660000,9.660000,31400
2019-04-17,9.650000,9.650000,9.630000,9.630000,9.630000,500
2019-04-18,9.631000,9.680000,9.631000,9.680000,9.680000,700
2019-04-22,9.680000,9.680000,9.680000,9.680000,9.680000,100
2019-04-23,9.500000,9.507000,9.494000,9.507000,9.507000,11700
2019-04-24,9.507000,9.507000,9.507000,9.507000,9.507000,100
2019-04-25,9.700000,9.700000,9.700000,9.700000,9.700000,300
2019-04-26,9.653000,9.690000,9.650000,9.650000,9.650000,1400
2019-04-29,9.640000,9.650000,9.640000,9.650000,9.650000,2900
2019-04-30,9.680000,9.692000,9.571000,9.610000,9.610000,21500
2019-05-01,9.610000,9.610000,9.610000,9.610000,9.610000,100
2019-05-02,9.650000,9.650000,9.638000,9.638000,9.638000,10100
2019-05-03,9.638000,9.638000,9.638000,9.638000,9.638000,100
2019-05-06,9.635000,9.650000,9.570000,9.570000,9.570000,1000
2019-05-07,9.600000,9.640000,9.600000,9.640000,9.640000,5000
2019-05-08,9.640000,9.640000,9.640000,9.640000,9.640000,0
2019-05-09,9.570000,9.570000,9.550000,9.566000,9.566000,9500
2019-05-10,9.566000,9.566000,9.566000,9.566000,9.566000,0
2019-05-13,9.550000,9.550000,9.500000,9.508000,9.508000,9800
2019-05-14,9.500000,9.501000,9.360000,9.360000,9.360000,6800
2019-05-15,9.410000,9.480000,9.410000,9.480000,9.480000,3400
2019-05-16,9.500000,9.500000,9.420000,9.430000,9.430000,2100
2019-05-17,9.500000,9.500000,9.400000,9.404000,9.404000,11000
2019-05-20,9.404000,9.404000,9.404000,9.404000,9.404000,0
2019-05-21,9.400000,9.410000,9.400000,9.410000,9.410000,9300
2019-05-22,9.410000,9.410000,9.400000,9.400000,9.400000,5100
2019-05-23,9.401000,9.401000,9.360000,9.360000,9.360000,4900
2019-05-24,9.373000,9.373000,9.373000,9.373000,9.373000,2000
2019-05-28,9.360000,9.394000,9.360000,9.394000,9.394000,4000
2019-05-29,9.360000,9.400000,9.360000,9.400000,9.400000,16000
2019-05-30,9.410000,9.435000,9.400000,9.400000,9.400000,6500
2019-05-31,9.435000,9.435000,9.400000,9.400000,9.400000,400
2019-06-03,9.453000,9.453000,9.400000,9.450000,9.450000,400
2019-06-04,9.479000,9.490000,9.478000,9.478000,9.478000,3400
2019-06-05,9.470000,9.500000,9.470000,9.470000,9.470000,1600
2019-06-06,9.450000,9.450000,9.450000,9.450000,9.450000,1400
2019-06-07,9.450000,9.450000,9.450000,9.450000,9.450000,200
2019-06-10,9.454000,9.510000,9.450000,9.500000,9.500000,9100
2019-06-11,9.541000,9.541000,9.510000,9.510000,9.510000,3700
2019-06-12,9.500000,9.500000,9.500000,9.500000,9.500000,200
2019-06-13,9.500000,9.500000,9.447000,9.450000,9.450000,800
2019-06-14,9.420000,9.420000,9.400000,9.400000,9.400000,12300
2019-06-17,9.417000,9.450000,9.400000,9.450000,9.450000,8600
2019-06-18,9.360000,9.360000,9.174000,9.350000,9.350000,21100
2019-06-19,9.350000,9.350000,9.350000,9.350000,9.350000,100
2019-06-20,9.230000,9.381000,9.230000,9.350000,9.350000,1500
2019-06-21,9.371000,9.371000,9.358000,9.366000,9.366000,4000
2019-06-24,9.360000,9.361000,9.300000,9.350000,9.350000,13700
2019-06-25,9.300000,9.300000,9.300000,9.300000,9.300000,1300
2019-06-26,9.200000,9.260000,9.200000,9.260000,9.260000,400
2019-06-27,9.250000,9.250000,9.250000,9.250000,9.250000,300
2019-06-28,9.260000,9.500000,9.250000,9.500000,9.500000,2600
2019-07-01,9.500000,9.500000,9.500000,9.500000,9.500000,100
2019-07-02,9.450000,9.450000,9.450000,9.450000,9.450000,2000
2019-07-03,9.250000,9.260000,9.250000,9.250000,9.250000,1800
2019-07-05,9.250000,9.250000,9.250000,9.250000,9.250000,300
2019-07-08,9.300000,9.346000,9.300000,9.326000,9.326000,800
2019-07-09,9.440000,9.450000,9.300000,9.300000,9.300000,2500
2019-07-10,9.250000,9.250000,9.210000,9.240000,9.240000,7500
2019-07-11,9.234000,9.234000,9.200000,9.200000,9.200000,1500
2019-07-12,9.200000,9.216000,8.660000,9.050000,9.050000,35200
2019-07-15,9.000000,9.210000,9.000000,9.210000,9.210000,4500
2019-07-16,9.100000,9.100000,9.100000,9.100000,9.100000,100
2019-07-17,9.100000,9.118000,9.050000,9.050000,9.050000,11100
2019-07-18,9.058000,9.250000,9.058000,9.070000,9.070000,5700
2019-07-19,9.357000,9.357000,9.334000,9.334000,9.334000,1000
2019-07-22,9.130000,9.140000,9.120000,9.120000,9.120000,1700
2019-07-23,9.350000,9.360000,9.300000,9.300000,9.300000,1200
2019-07-24,9.300000,9.404000,9.280000,9.404000,9.404000,16200
2019-07-25,9.404000,9.404000,9.404000,9.404000,9.404000,100
2019-07-26,9.332000,9.400000,9.332000,9.400000,9.400000,700
2019-07-29,9.390000,9.400000,9.260000,9.260000,9.260000,600
2019-07-30,9.376000,9.376000,9.370000,9.370000,9.370000,500
2019-07-31,9.400000,9.500000,9.390000,9.410000,9.410000,9000
2019-08-01,9.500000,9.508000,9.420000,9.420000,9.420000,3000
2019-08-02,9.420000,9.455000,9.400000,9.400000,9.400000,10200
2019-08-05,9.468000,9.468000,9.468000,9.468000,9.468000,1500
2019-08-06,9.435000,9.460000,9.435000,9.460000,9.460000,1100
2019-08-07,9.400000,9.447000,9.300000,9.385000,9.385000,9600
2019-08-08,9.310000,9.310000,9.310000,9.310000,9.310000,400
2019-08-09,9.310000,9.310000,9.310000,9.310000,9.310000,400
2019-08-12,9.300000,9.550000,9.300000,9.500000,9.500000,12100
2019-08-13,9.347000,9.503000,9.347000,9.370000,9.370000,3100
2019-08-14,9.386000,9.391000,9.310000,9.310000,9.310000,1000
2019-08-15,9.310000,9.310000,9.310000,9.310000,9.310000,0
2019-08-16,9.310000,9.310000,9.310000,9.310000,9.310000,0
2019-08-19,9.420000,9.420000,9.340000,9.340000,9.340000,1100
2019-08-20,9.340000,9.340000,9.340000,9.340000,9.340000,0
2019-08-21,9.550000,9.550000,9.550000,9.550000,9.550000,900
2019-08-22,9.660000,9.660000,9.420000,9.420000,9.420000,2100
2019-08-23,9.660000,9.660000,9.330000,9.330000,9.330000,500
2019-08-26,9.550000,9.550000,9.550000,9.550000,9.550000,1200
2019-08-27,9.690000,9.690000,9.350000,9.350000,9.350000,500
2019-08-28,9.500000,9.500000,9.500000,9.500000,9.500000,600
2019-08-29,9.450000,9.450000,9.410000,9.410000,9.410000,1700
2019-08-30,9.436000,9.450000,9.424000,9.424000,9.424000,1500
2019-09-03,9.410000,9.450000,9.370000,9.400000,9.400000,13000
2019-09-04,9.400000,9.400000,9.400000,9.400000,9.400000,0
2019-09-05,9.370000,9.370000,9.370000,9.370000,9.370000,500
2019-09-06,9.310000,9.310000,9.310000,9.310000,9.310000,5000
2019-09-09,9.500000,9.740000,9.480000,9.700000,9.700000,19300
2019-09-10,9.320000,9.510000,9.320000,9.510000,9.510000,600
2019-09-11,9.510000,9.510000,9.510000,9.510000,9.510000,0
2019-09-12,9.390000,9.600000,9.390000,9.530000,9.530000,2500
2019-09-13,9.380000,9.650000,9.380000,9.650000,9.650000,3400
2019-09-16,9.700000,9.740000,9.420000,9.430000,9.430000,11800
2019-09-17,9.650000,9.700000,9.525000,9.660000,9.660000,20200
2019-09-18,9.450000,9.450000,9.450000,9.450000,9.450000,400
2019-09-19,9.480000,9.900000,9.480000,9.781000,9.781000,17700
2019-09-20,9.800000,9.840000,9.740000,9.840000,9.840000,8900
2019-09-23,9.775000,9.775000,9.775000,9.775000,9.775000,600
2019-09-24,9.707000,9.900000,9.707000,9.775000,9.775000,8100
2019-09-25,9.710000,9.710000,9.710000,9.710000,9.710000,200
2019-09-26,9.710000,9.710000,9.710000,9.710000,9.710000,100
2019-09-27,9.710000,9.710000,9.710000,9.710000,9.710000,100
2019-09-30,9.640000,9.640000,9.640000,9.640000,9.640000,200
2019-10-01,9.640000,9.640000,9.640000,9.640000,9.640000,0
2019-10-02,9.640000,9.640000,9.640000,9.640000,9.640000,300
2019-10-03,9.640000,9.640000,9.640000,9.640000,9.640000,100
2019-10-04,9.600000,9.600000,9.600000,9.600000,9.600000,400
2019-10-07,9.694000,9.694000,9.620000,9.620000,9.620000,400
2019-10-08,9.750000,9.900000,9.750000,9.878000,9.878000,3800
2019-10-09,9.870000,9.870000,9.762000,9.870000,9.870000,2700
2019-10-10,9.620000,9.800000,9.620000,9.800000,9.800000,1100
2019-10-11,9.800000,9.800000,9.800000,9.800000,9.800000,1400
2019-10-14,9.700000,9.710000,9.700000,9.701000,9.701000,3200
2019-10-15,9.701000,9.701000,9.701000,9.701000,9.701000,100
2019-10-16,9.701000,9.701000,9.701000,9.701000,9.701000,100
2019-10-17,9.800000,9.800000,9.800000,9.800000,9.800000,200
2019-10-18,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-10-21,9.530000,9.530000,9.530000,9.530000,9.530000,600
2019-10-22,9.615000,9.615000,9.615000,9.615000,9.615000,500
2019-10-23,9.615000,9.615000,9.615000,9.615000,9.615000,0
