Date,Open,High,Low,Close,Adj Close,Volume
2019-11-08,13.000000,14.500000,12.580000,13.060000,13.060000,479100
2019-11-11,12.720000,12.780000,10.700000,10.740000,10.740000,226200
2019-11-12,10.330000,10.960000,8.910000,8.920000,8.920000,186800
2019-11-13,8.880000,9.730000,8.720000,9.210000,9.210000,117000
2019-11-14,9.040000,9.490000,9.040000,9.200000,9.200000,59700
2019-11-15,9.170000,10.000000,9.000000,9.980000,9.980000,88900
2019-11-18,9.850000,9.870000,9.410000,9.600000,9.600000,21700
2019-11-19,9.601000,9.601000,9.050000,9.350000,9.350000,20500
2019-11-20,9.220000,9.220000,9.020000,9.030000,9.030000,22500
2019-11-21,9.040000,9.050000,8.710000,8.730000,8.730000,24300
2019-11-22,8.790000,8.899000,8.660000,8.800000,8.800000,12100
2019-11-25,8.880000,8.880000,8.550000,8.610000,8.610000,25100
2019-11-26,8.580000,8.580000,8.320000,8.350000,8.350000,27200
2019-11-27,8.320000,8.650000,8.320000,8.640000,8.640000,27900
2019-11-29,8.900000,8.900000,8.470000,8.470000,8.470000,7200
2019-12-02,8.500000,8.790000,8.500000,8.500000,8.500000,11800
2019-12-03,8.480000,8.689000,8.460000,8.680000,8.680000,7100
2019-12-04,8.870000,9.490000,8.770000,9.430000,9.430000,33600
2019-12-05,9.410000,9.410000,9.000000,9.110000,9.110000,28200
2019-12-06,9.180000,9.180000,8.700000,8.840000,8.840000,31100
2019-12-09,8.960000,9.150000,8.750000,9.000000,9.000000,24100
2019-12-10,9.300000,9.300000,8.770000,8.800000,8.800000,13900
2019-12-11,8.810000,8.922000,8.700000,8.710000,8.710000,9400
2019-12-12,8.710000,8.963000,8.700000,8.795000,8.795000,9800
2019-12-13,8.803000,8.865000,8.710000,8.720000,8.720000,7100
2019-12-16,8.840000,8.840000,8.100000,8.100000,8.100000,34000
2019-12-17,8.100000,8.150000,8.100000,8.100000,8.100000,6300
2019-12-18,8.370000,8.370000,8.060000,8.070000,8.070000,7100
