Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,8.000000,8.500000,7.900000,7.950000,7.950000,642900
2014-04-02,7.940000,8.290000,7.900000,8.160000,8.160000,228400
2014-04-03,8.290000,8.400000,8.050000,8.390000,8.390000,105000
2014-04-04,8.500000,8.700000,8.320000,8.690000,8.690000,113600
2014-04-07,9.000000,9.000000,8.550000,8.940000,8.940000,60500
2014-04-08,8.950000,8.990000,8.800000,8.900000,8.900000,31800
2014-04-09,8.850000,8.900000,8.800000,8.890000,8.890000,50900
2014-04-10,8.950000,8.950000,8.730000,8.830000,8.830000,22400
2014-04-11,8.950000,8.950000,8.750000,8.890000,8.890000,30100
2014-04-14,8.950000,10.190000,8.950000,9.550000,9.550000,25700
2014-04-15,9.950000,9.950000,9.260000,9.490000,9.490000,50400
2014-04-16,9.490000,9.980000,9.240000,9.240000,9.240000,5100
2014-04-17,9.250000,9.470000,8.950000,8.950000,8.950000,16700
2014-04-21,8.990000,9.500000,8.990000,9.310000,9.310000,20100
2014-04-22,9.250000,9.410000,9.250000,9.260000,9.260000,11200
2014-04-23,9.020000,9.500000,8.990000,9.035000,9.035000,13500
2014-04-24,9.100000,9.390000,9.050000,9.060000,9.060000,6000
2014-04-25,9.190000,9.190000,9.000000,9.010000,9.010000,12700
2014-04-28,8.990000,9.490000,8.960000,9.490000,9.490000,26500
2014-04-29,9.140000,9.430000,9.050000,9.090000,9.090000,7200
2014-04-30,9.110000,9.180000,9.050000,9.050000,9.050000,8000
2014-05-01,9.070000,9.250000,8.950000,9.100000,9.100000,44300
2014-05-02,9.100000,9.100000,9.050000,9.100000,9.100000,4800
2014-05-05,9.000000,9.310000,8.950000,9.020000,9.020000,34400
2014-05-06,9.010000,9.288000,9.010000,9.050000,9.050000,33100
2014-05-07,9.050000,9.110000,9.000000,9.000000,9.000000,14600
2014-05-08,8.980000,9.100000,8.960000,9.050000,9.050000,15600
2014-05-09,9.020000,9.260000,9.020000,9.260000,9.260000,28900
2014-05-12,9.250000,9.260000,9.010000,9.100000,9.100000,58100
2014-05-13,9.100000,9.200000,9.050000,9.110000,9.110000,7700
2014-05-14,9.113000,9.130000,9.110000,9.110000,9.110000,4600
2014-05-15,9.100000,9.190000,9.000000,9.190000,9.190000,27600
2014-05-16,9.300000,9.500000,9.150000,9.380000,9.380000,33600
2014-05-19,9.490000,9.500000,9.360000,9.500000,9.500000,17200
2014-05-20,9.600000,9.899000,9.500000,9.570000,9.570000,18500
2014-05-21,8.910000,9.200000,8.500000,8.900000,8.900000,40700
2014-05-22,8.850000,9.090000,8.730000,8.900000,8.900000,37300
2014-05-23,8.900000,8.990000,8.750000,8.990000,8.990000,42800
2014-05-27,9.060000,9.060000,8.760000,8.770000,8.770000,79300
2014-05-28,8.750000,9.000000,8.530000,9.000000,9.000000,31300
2014-05-29,8.700000,8.940000,8.700000,8.801000,8.801000,9900
2014-05-30,8.795000,8.920000,8.790000,8.810000,8.810000,17000
2014-06-02,8.800000,8.850000,8.600000,8.690000,8.690000,16800
2014-06-03,8.940000,8.940000,8.200000,8.210000,8.210000,63000
2014-06-04,8.140000,8.400000,7.925000,8.070000,8.070000,81400
2014-06-05,8.000000,8.100000,7.936000,8.050000,8.050000,45500
2014-06-06,8.000000,8.020000,7.820000,8.020000,8.020000,75100
2014-06-09,8.000000,8.620000,7.570000,8.260000,8.260000,566000
2014-06-10,8.220000,8.500000,8.110000,8.410000,8.410000,1044500
2014-06-11,8.490000,8.780000,8.460000,8.650000,8.650000,128100
2014-06-12,8.600000,8.700000,8.480000,8.530000,8.530000,56500
2014-06-13,8.600000,8.640000,8.500000,8.540000,8.540000,66800
2014-06-16,8.600000,8.600000,8.410000,8.510000,8.510000,49900
2014-06-17,8.600000,8.750000,8.593000,8.630000,8.630000,95400
2014-06-18,8.700000,8.750000,8.480000,8.500000,8.500000,104400
2014-06-19,8.700000,8.750000,8.560000,8.700000,8.700000,57300
2014-06-20,8.750000,8.750000,8.260000,8.280000,8.280000,185200
2014-06-23,8.550000,8.660000,8.411000,8.450000,8.450000,36600
2014-06-24,8.460000,8.800000,8.450000,8.490000,8.490000,80100
2014-06-25,8.410000,8.650000,8.360000,8.570000,8.570000,52400
2014-06-26,8.640000,8.980000,8.500000,8.670000,8.670000,34400
2014-06-27,8.640000,9.340000,8.520000,8.800000,8.800000,100500
2014-06-30,8.850000,9.110000,8.840000,8.910000,8.910000,40900
2014-07-01,8.840000,9.060000,8.810000,8.970000,8.970000,12700
2014-07-02,9.000000,9.070000,8.710000,8.900000,8.900000,53700
2014-07-03,8.830000,9.010000,8.660000,8.990000,8.990000,20600
2014-07-07,9.000000,9.100000,8.780000,8.830000,8.830000,32400
2014-07-08,8.970000,8.970000,8.750000,8.790000,8.790000,44600
2014-07-09,8.840000,9.000000,8.750000,8.890000,8.890000,11200
2014-07-10,8.850000,8.910000,8.760000,8.780000,8.780000,20400
2014-07-11,8.850000,8.850000,8.610000,8.730000,8.730000,27600
2014-07-14,8.710000,8.910000,8.710000,8.820000,8.820000,20600
2014-07-15,8.860000,8.990000,8.810000,8.840000,8.840000,49100
2014-07-16,8.980000,8.980000,8.630000,8.640000,8.640000,34800
2014-07-17,8.770000,8.800000,8.610000,8.690000,8.690000,53100
2014-07-18,8.670000,8.900000,8.650000,8.750000,8.750000,40400
2014-07-21,8.780000,8.900000,8.586000,8.710000,8.710000,9200
2014-07-22,8.760000,8.930000,8.576000,8.600000,8.600000,16300
2014-07-23,8.750000,8.800000,8.530000,8.560000,8.560000,55400
2014-07-24,8.600000,8.830000,8.600000,8.740000,8.740000,27900
2014-07-25,8.700000,8.700000,8.580000,8.610000,8.610000,10300
2014-07-28,8.650000,8.650000,8.520000,8.610000,8.610000,27800
2014-07-29,8.580000,8.800000,8.463000,8.710000,8.710000,93900
2014-07-30,8.690000,8.725000,8.510000,8.530000,8.530000,19600
2014-07-31,8.530000,8.570000,8.500000,8.500000,8.500000,31600
2014-08-01,8.500000,8.520000,8.450000,8.480000,8.480000,56100
2014-08-04,8.500000,8.560000,8.420000,8.560000,8.560000,48700
2014-08-05,8.510000,8.550000,8.450000,8.500000,8.500000,25900
2014-08-06,8.520000,8.565000,8.460000,8.500000,8.500000,38600
2014-08-07,8.500000,8.580000,8.500000,8.530000,8.530000,10400
2014-08-08,8.530000,8.680000,8.530000,8.680000,8.680000,26900
2014-08-11,8.620000,8.690000,8.600000,8.610000,8.610000,16900
2014-08-12,8.600000,8.650000,8.600000,8.610000,8.610000,8900
2014-08-13,8.630000,8.660000,8.520000,8.560000,8.560000,14700
2014-08-14,8.590000,8.710000,8.580000,8.700000,8.700000,15700
2014-08-15,8.500000,8.618000,8.480000,8.500000,8.500000,61800
2014-08-18,8.520000,8.600000,8.520000,8.550000,8.550000,15400
2014-08-19,8.520000,8.684000,8.520000,8.550000,8.550000,26400
2014-08-20,8.530000,8.570000,8.460000,8.480000,8.480000,35700
2014-08-21,8.460000,8.460000,8.330000,8.450000,8.450000,27600
2014-08-22,8.370000,8.420000,8.333000,8.400000,8.400000,12300
2014-08-25,8.500000,8.630000,8.400000,8.550000,8.550000,37100
2014-08-26,8.530000,8.530000,8.340000,8.450000,8.450000,23500
2014-08-27,8.480000,8.499000,8.341000,8.370000,8.370000,26300
2014-08-28,8.460000,8.470000,8.380000,8.400000,8.400000,21700
2014-08-29,8.440000,8.460000,8.420000,8.450000,8.450000,2800
2014-09-02,8.450000,8.470000,8.380000,8.380000,8.380000,28800
2014-09-03,8.410000,8.423000,8.300000,8.300000,8.300000,24000
2014-09-04,8.270000,8.350000,8.250000,8.300000,8.300000,3900
2014-09-05,8.270000,8.370000,8.260000,8.280000,8.280000,16600
2014-09-08,8.310000,8.326000,8.250000,8.250000,8.250000,17800
2014-09-09,8.270000,8.290000,8.250000,8.250000,8.250000,6600
2014-09-10,8.262000,8.340000,8.180000,8.180000,8.180000,11600
2014-09-11,8.210000,8.270000,8.200000,8.200000,8.200000,10000
2014-09-12,8.220000,8.330000,8.090000,8.090000,8.090000,5700
2014-09-15,8.120000,8.200000,8.010000,8.010000,8.010000,7500
2014-09-16,8.110000,8.230000,7.880000,8.050000,8.050000,32700
2014-09-17,8.080000,8.140000,7.951000,8.100000,8.100000,5300
2014-09-18,8.110000,8.120000,8.010000,8.040000,8.040000,6400
2014-09-19,8.074000,8.080000,7.881000,7.990000,7.990000,22000
2014-09-22,7.990000,8.030000,7.890000,7.950000,7.950000,37300
2014-09-23,7.880000,7.950000,7.710000,7.840000,7.840000,45000
2014-09-24,7.660000,7.990000,7.660000,7.880000,7.880000,105100
2014-09-25,7.820000,7.820000,7.710000,7.750000,7.750000,22100
2014-09-26,7.740000,7.830000,7.740000,7.750000,7.750000,44200
2014-09-29,7.750000,7.800000,7.750000,7.770000,7.770000,61500
2014-09-30,7.730000,8.110000,7.730000,7.800000,7.800000,8300
2014-10-01,7.780000,7.900000,7.690000,7.700000,7.700000,18300
2014-10-02,7.700000,7.730000,7.150000,7.460000,7.460000,78900
2014-10-03,7.450000,7.610000,7.400000,7.470000,7.470000,12300
2014-10-06,7.500000,7.570000,7.480000,7.520000,7.520000,5000
2014-10-07,7.470000,7.550000,7.350000,7.450000,7.450000,31600
2014-10-08,7.840000,7.840000,7.350000,7.400000,7.400000,15400
2014-10-09,7.400000,7.630000,7.350000,7.390000,7.390000,33900
2014-10-10,7.460000,7.830000,7.300000,7.360000,7.360000,18200
2014-10-13,7.430000,7.430000,7.070000,7.130000,7.130000,24700
2014-10-14,7.560000,7.590000,7.250000,7.440000,7.440000,23500
2014-10-15,7.520000,7.830000,7.500000,7.740000,7.740000,49800
2014-10-16,7.760000,8.130000,7.760000,8.010000,8.010000,42500
2014-10-17,8.140000,8.140000,7.760000,7.800000,7.800000,8500
2014-10-20,7.930000,7.930000,7.810000,7.880000,7.880000,9400
2014-10-21,7.880000,8.099000,7.880000,8.060000,8.060000,16600
2014-10-22,8.220000,8.220000,8.010000,8.030000,8.030000,4900
2014-10-23,8.060000,8.230000,8.060000,8.060000,8.060000,4800
2014-10-24,8.000000,8.000000,7.720000,7.920000,7.920000,23700
2014-10-27,7.900000,7.900000,7.601000,7.660000,7.660000,27700
2014-10-28,7.620000,7.869000,7.620000,7.760000,7.760000,8300
2014-10-29,7.740000,7.870000,7.740000,7.790000,7.790000,5300
2014-10-30,7.780000,7.869000,7.680000,7.680000,7.680000,14900
2014-10-31,7.720000,7.930000,7.710000,7.780000,7.780000,10500
2014-11-03,7.800000,8.040000,7.760000,7.780000,7.780000,31600
2014-11-04,7.720000,7.800000,7.720000,7.760000,7.760000,14700
2014-11-05,7.780000,7.970000,7.720000,7.790000,7.790000,15500
2014-11-06,7.610000,7.800000,7.610000,7.800000,7.800000,10800
2014-11-07,7.750000,7.990000,7.750000,7.780000,7.780000,21600
2014-11-10,7.780000,7.920000,7.720000,7.800000,7.800000,39400
2014-11-11,7.780000,7.800000,7.780000,7.800000,7.800000,8600
2014-11-12,7.810000,7.850000,7.680000,7.690000,7.690000,27400
2014-11-13,7.760000,7.800000,7.700000,7.800000,7.800000,17900
2014-11-14,7.800000,7.850000,7.750000,7.800000,7.800000,30700
2014-11-17,7.800000,7.800000,7.710000,7.730000,7.730000,5800
2014-11-18,7.710000,7.750000,7.700000,7.710000,7.710000,27600
2014-11-19,7.800000,7.830000,7.752000,7.790000,7.790000,21300
2014-11-20,7.770000,7.800000,7.740000,7.760000,7.760000,11800
2014-11-21,7.760000,7.800000,7.740000,7.750000,7.750000,9400
2014-11-24,7.750000,7.800000,7.720000,7.760000,7.760000,12000
2014-11-25,7.770000,7.770000,7.690000,7.700000,7.700000,4400
2014-11-26,7.712000,7.740000,7.671000,7.740000,7.740000,5900
2014-11-28,7.700000,7.800000,7.680000,7.800000,7.800000,6800
2014-12-01,7.800000,7.800000,7.790000,7.790000,7.790000,4100
2014-12-02,7.770000,7.800000,7.760000,7.800000,7.800000,12800
2014-12-03,7.780000,7.850000,7.700000,7.800000,7.800000,37700
2014-12-04,7.770000,7.770000,7.730000,7.770000,7.770000,1100
2014-12-05,7.792000,7.792000,7.620000,7.720000,7.720000,37400
2014-12-08,7.760000,7.760000,7.550000,7.580000,7.580000,19200
2014-12-09,7.550000,7.590000,7.400000,7.450000,7.450000,45400
