통계표,"8.8.1.1 주요국통화의 대원화 환율","8.8.1.1 주요국통화의 대원화 환율","8.8.1.1 주요국통화의 대원화 환율","8.8.1.1 주요국통화의 대원화 환율"
항목명1,"원/미국달러(매매기준율)","원/위안(매매기준율)","원/일본엔(100엔)","원/유로"
단위,"원 ","원 ","원 ","원 "
변환,"원자료","원자료","원자료","원자료"
1970/01/05,"304","","",""
1970/01/06,"304","","",""
1970/01/07,"304","","",""
1970/01/08,"304","","",""
1970/01/09,"304","","",""
1970/01/10,"304","","",""
1970/01/12,"304","","",""
1970/01/13,"305","","",""
1970/01/14,"305","","",""
1970/01/15,"305","","",""
1970/01/16,"305","","",""
1970/01/17,"305","","",""
1970/01/19,"305","","",""
1970/01/20,"305","","",""
1970/01/21,"305","","",""
1970/01/22,"305","","",""
1970/01/23,"305","","",""
1970/01/24,"305","","",""
1970/01/26,"305","","",""
1970/01/27,"305","","",""
1970/01/28,"305","","",""
1970/01/29,"305","","",""
1970/01/30,"305","","",""
1970/01/31,"305","","",""
1970/02/02,"305","","",""
1970/02/03,"305","","",""
1970/02/04,"305","","",""
1970/02/05,"306","","",""
1970/02/06,"306","","",""
1970/02/07,"305","","",""
1970/02/09,"306","","",""
1970/02/10,"306","","",""
1970/02/11,"306","","",""
1970/02/12,"306","","",""
1970/02/13,"306","","",""
1970/02/14,"306","","",""
1970/02/16,"306","","",""
1970/02/17,"306","","",""
1970/02/18,"306","","",""
1970/02/19,"306","","",""
1970/02/20,"306","","",""
1970/02/21,"306","","",""
1970/02/23,"306","","",""
1970/02/24,"306","","",""
1970/02/25,"306","","",""
1970/02/26,"306","","",""
1970/02/27,"306","","",""
1970/02/28,"306","","",""
1970/03/02,"306","","",""
1970/03/03,"306","","",""
1970/03/04,"306","","",""
1970/03/05,"306","","",""
1970/03/06,"306","","",""
1970/03/07,"306","","",""
1970/03/09,"307","","",""
1970/03/11,"306","","",""
1970/03/12,"306","","",""
1970/03/13,"307","","",""
1970/03/14,"307","","",""
1970/03/16,"307","","",""
1970/03/17,"307","","",""
1970/03/18,"307","","",""
1970/03/19,"307","","",""
1970/03/20,"307","","",""
1970/03/21,"307","","",""
1970/03/23,"307","","",""
1970/03/24,"307","","",""
1970/03/25,"307","","",""
1970/03/26,"307","","",""
1970/03/27,"307","","",""
1970/03/28,"307","","",""
1970/03/30,"307","","",""
1970/03/31,"307","","",""
1970/04/01,"306","","",""
1970/04/02,"307","","",""
1970/04/03,"307","","",""
