통계표,"8.8.1.1 주요국통화의 대원화 환율"
항목명1,"원/미국달러(매매기준율)"
단위,"원 "
변환,"원자료"
1970/01/05,"304.45"
1970/01/06,"304.45"
1970/01/07,"304.45"
1970/01/08,"304.45"
1970/01/09,"304.35"
1970/01/10,"304.35"
1970/01/12,"304.45"
1970/01/13,"304.55"
1970/01/14,"304.55"
1970/01/15,"304.75"
1970/01/16,"304.85"
1970/01/17,"304.85"
1970/01/19,"304.95"
1970/01/20,"304.95"
1970/01/21,"305.05"
1970/01/22,"305.05"
1970/01/23,"305.05"
1970/01/24,"305.15"
1970/01/26,"305.25"
1970/01/27,"305.25"
1970/01/28,"305.25"
1970/01/29,"305.25"
1970/01/30,"305.25"
1970/01/31,"305.35"
1970/02/02,"305.45"
1970/02/03,"305.45"
1970/02/04,"305.45"
1970/02/05,"305.55"
1970/02/06,"305.55"
1970/02/07,"305.45"
1970/02/09,"305.55"
1970/02/10,"305.65"
1970/02/11,"305.75"
1970/02/12,"305.75"
1970/02/13,"305.85"
1970/02/14,"305.85"
1970/02/16,"305.85"
1970/02/17,"305.95"
1970/02/18,"306.15"
1970/02/19,"306.15"
1970/02/20,"306.15"
1970/02/21,"306.15"
1970/02/23,"306.05"
1970/02/24,"306.15"
1970/02/25,"306.15"
1970/02/26,"306.15"
1970/02/27,"306.25"
1970/02/28,"306.15"
1970/03/02,"306.15"
1970/03/03,"306.25"
1970/03/04,"306.35"
1970/03/05,"306.45"
1970/03/06,"306.45"
1970/03/07,"306.45"
1970/03/09,"306.55"
1970/03/11,"306.45"
1970/03/12,"306.25"
1970/03/13,"306.55"
1970/03/14,"306.55"
1970/03/16,"306.65"
1970/03/17,"306.75"
1970/03/18,"306.75"
1970/03/19,"306.75"
1970/03/20,"306.75"
1970/03/21,"306.75"
1970/03/23,"306.85"
1970/03/24,"306.85"
1970/03/25,"306.85"
1970/03/26,"306.85"
1970/03/27,"306.85"
1970/03/28,"306.85"
1970/03/30,"306.85"
1970/03/31,"306.85"
1970/04/01,"306.05"
1970/04/02,"306.75"
1970/04/03,"306.85"
1970/04/04,"307.05"
1970/04/06,"307.15"
1970/04/07,"307.15"
1970/04/08,"307.25"
1970/04/09,"307.15"
1970/04/10,"307.35"
1970/04/11,"307.45"
1970/04/13,"307.55"
1970/04/14,"307.66"
1970/04/15,"307.85"
1970/04/16,"307.85"
1970/04/17,"307.85"
1970/04/18,"307.85"
1970/04/20,"307.95"
1970/04/21,"308.15"
1970/04/22,"308.25"
1970/04/23,"308.25"
1970/04/24,"308.35"
1970/04/25,"308.45"
1970/04/27,"308.45"
1970/04/28,"308.55"
1970/04/29,"308.65"
1970/04/30,"308.65"
1970/05/01,"308.35"
1970/05/02,"308.25"
1970/05/04,"308.25"
1970/05/05,"308.25"
1970/05/06,"308.25"
1970/05/07,"308.45"
1970/05/08,"308.45"
1970/05/09,"308.65"
1970/05/11,"308.65"
1970/05/12,"308.75"
1970/05/13,"308.75"
1970/05/14,"308.75"
1970/05/15,"308.85"
1970/05/16,"308.95"
1970/05/18,"308.95"
1970/05/19,"309.15"
1970/05/20,"308.25"
1970/05/21,"308.25"
1970/05/22,"308.25"
1970/05/23,"309.35"
1970/05/25,"309.35"
1970/05/26,"309.25"
1970/05/27,"309.25"
1970/05/28,"309.35"
1970/05/29,"309.45"
1970/05/30,"309.35"
1970/06/01,"309.25"
1970/06/02,"309.05"
1970/06/03,"309.25"
1970/06/04,"309.25"
1970/06/05,"309.45"
1970/06/08,"309.45"
1970/06/09,"309.45"
1970/06/10,"309.35"
1970/06/11,"309.35"
1970/06/12,"309.35"
1970/06/13,"309.55"
1970/06/15,"309.75"
1970/06/16,"309.95"
1970/06/17,"310.15"
1970/06/18,"310.15"
1970/06/19,"310.15"
1970/06/20,"310.15"
1970/06/22,"310.35"
1970/06/23,"310.35"
1970/06/24,"310.35"
1970/06/25,"310.55"
1970/06/26,"310.55"
1970/06/27,"310.55"
1970/06/29,"310.75"
1970/06/30,"310.75"
1970/07/01,"310.65"
1970/07/02,"310.55"
1970/07/03,"310.55"
1970/07/04,"310.55"
1970/07/06,"310.75"
1970/07/07,"310.75"
1970/07/08,"310.95"
1970/07/09,"310.95"
1970/07/10,"311.05"
1970/07/11,"311.15"
1970/07/13,"311.15"
1970/07/14,"311.35"
1970/07/15,"311.35"
1970/07/16,"311.35"
1970/07/18,"311.55"
1970/07/20,"311.75"
1970/07/21,"311.75"
1970/07/22,"311.95"
1970/07/23,"311.95"
1970/07/24,"312.50"
1970/07/25,"312.50"
1970/07/27,"312.05"
1970/07/28,"312.15"
1970/07/29,"312.35"
1970/07/30,"312.35"
1970/07/31,"312.35"
1970/08/01,"312.35"
1970/08/03,"312.35"
1970/08/04,"312.15"
1970/08/05,"312.25"
1970/08/06,"312.25"
1970/08/07,"312.25"
1970/08/08,"312.25"
1970/08/10,"312.25"
1970/08/11,"312.15"
1970/08/12,"312.15"
1970/08/13,"312.15"
1970/08/14,"312.25"
1970/08/17,"312.25"
1970/08/18,"312.25"
1970/08/19,"312.45"
1970/08/20,"312.65"
1970/08/21,"312.65"
1970/08/22,"312.65"
1970/08/24,"312.85"
1970/08/25,"313.05"
1970/08/26,"312.95"
1970/08/27,"312.95"
1970/08/28,"313.05"
1970/08/29,"312.95"
1970/08/31,"312.95"
1970/09/01,"312.95"
1970/09/02,"312.95"
1970/09/03,"313.05"
1970/09/04,"313.15"
1970/09/05,"313.15"
1970/09/07,"313.35"
1970/09/08,"313.35"
1970/09/09,"313.35"
1970/09/10,"313.25"
1970/09/11,"313.35"
1970/09/12,"313.35"
1970/09/14,"313.25"
1970/09/16,"313.25"
1970/09/17,"313.25"
1970/09/18,"313.15"
1970/09/19,"313.35"
1970/09/21,"313.55"
1970/09/22,"313.55"
1970/09/23,"313.65"
1970/09/24,"313.65"
1970/09/25,"313.65"
1970/09/26,"313.75"
1970/09/28,"313.85"
1970/09/29,"313.85"
1970/09/30,"313.85"
1970/10/01,"313.65"
1970/10/02,"313.65"
1970/10/05,"313.65"
1970/10/06,"313.65"
1970/10/07,"313.75"
